
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nova
interfacetopbar_tooltip_guardavailable          *X Haveblaj
interfacetopbar_tooltip_guardresting            *X Ripozantaj
interfacetopbar_tooltip_guardactive             (*X Respondantaj al incidentoj)
interfacetopbar_tooltip_guarddoingjob           *X Laborantaj
interfacetopbar_tooltip_idle                    (*X Mallaborantaj)
interfacetopbar_tooltip_armedguards             + *X Armitaj gardistoj
interfacetopbar_tooltip_dogs                    + *X Hundstiristoj

interfacetopbar_unlimitedfunds                  NEFINITA MONO

interfacetopbar_budget_moneyin					Enspezoj: $*M ĉiutage
interfacetopbar_budget_moneyout					Elspezoj: $*M ĉiutage
interfacetopbar_budget_cantgonegative           Oni ne povas havi negativan netenspezon (t.e. havi pli da elspezoj ol enspezoj) antaŭ ol oni dongis Kontiston administriontan je viaj financoj.

interfacetopbar_prisoners_types					Nune gardas *X Malliberulojn:
interfacetopbar_prisoners_capacity              Maksimala sekura kapacito: *X
interfacetopbar_prisonercells_shared            Dividita kapacito: *X
interfacetopbar_prisonercells_unlocked          Malŝlosita kapacito: *X
interfacetopbar_prisonercells_minseconly        Minimumula kapacito: *X
interfacetopbar_prisonercells_medseconly        Mezula kapacito: *X
interfacetopbar_prisonercells_maxseconly        Maksimumula kapacito: *X
interfacetopbar_prisonercells_protectedonly     Protektitula kapacito: *X
interfacetopbar_prisonercells_supermaxonly      Supermaksimumula kapacito: *X
interfacetopbar_prisonercells_deathrowonly      Mortvicana kapacito: *X
interfacetopbar_prisonercells_staffonly         Nehavebla: *X
interfacetopbar_prisoners_nocells               Al *X nalliberuloj ne eblas asigniĝi ĉelon
interfacetopbar_prisonercells_parents           Patra kapacito: *X

interfacetopbar_cctv_current					Nune kuras *C kameraoj
interfacetopbar_cctv_cap						Spaco por *C kameraoj

interfacetopbar_tension_currentlevel            La danĝernivelo estas *X
interfacetopbar_tension_currentlevellow         Malalta
interfacetopbar_tension_currentlevelmedium      Meza
interfacetopbar_tension_currentlevelhigh        Alta
interfacetopbar_tension_increasing              kaj plialtiĝanta
interfacetopbar_tension_decreasing              kaj malplialtiĝanta
interfacetopbar_tension_description             FAKTOROJ:
interfacetopbar_tension_happyprisoners          - *X malliberuloj diras ke ili bone traktiĝas
interfacetopbar_tension_unhappyprisoners        + *X malliberuloj havas gravajn plendojn
interfacetopbar_tension_lockedupprisoners       + *X malliberuloj kateniĝas en siaj ĉeloj aŭ izolĉelo
interfacetopbar_tension_riotingprisoners        + *X malliberuloj tumultas
interfacetopbar_tension_wellfedprisoners        - *X malliberuloj bone nutriĝas
interfacetopbar_tension_suppressedprisoners     = *X malliberuloj subpremiĝas (konsentemas)
interfacetopbar_tension_activeriotguards        + *X kontraŭtumultpolicanoj estas eje
interfacetopbar_tension_activearmedguards       + *X armitaj gardistoj estas ofice
interfacetopbar_tension_recentdeaths            + *X homoj lastatempe mortigiĝis
interfacetopbar_tension_recentsearches          + *X malliberuloj nenecese lastatempe traserĉiĝis
interfacetopbar_tension_angrygangmembers        + *X BANDANOJ KOLEREGAS (bandestro puniĝas)
interfacetopbar_tension_recentpunishments       = (MALINSTIGO) *X punoj lastatempe doniĝas
interfacetopbar_tension_recentcalmed            - *X malliberuloj lastatempe trankviliĝis

interfacecontrol_mainmenu                       Ĉefmenuo (Esc)
interfacecontrol_mainmenu_tooltip               Baskuligi la ĉefmenuon (Nova/Ŝarĝi/Konservi/Eleiri ktp.)
interfacecontrol_todo                           Endaĵaro
interfacecontrol_todo_tooltip                   Baskuligi la endaĵaron
interfacecontrol_research                       Burokratio
interfacecontrol_research_tooltip               Malfermas la Burokratidialogon, kie oni povas asigni siajn administrantojn por malŝlosi novajn aĵojn, dungittipojn, kaj instalaĵojn.
interfacecontrol_grading                        Malliberejgradigo
interfacecontrol_grading_tooltip                Malfermas la Malliberejgradigdialogon, kiu montras entutan gradigon pri kiom vi sukcesis.

interface_confirmlandbuy                        Ĉu vi certas ke vi volas aĉeti ĉi tiun teritorion por $*X?
interface_loadconfirm                           Ĉu vi certas ke vi volas ŝarĝi ĉi tiun mapon? Ĉiu nekonservita progreso perdiĝos.
interface_saveconfirm                           Ĉu vi certas ke vi volas konservi per ĉi tiu dosiernomo? Ekzistanta datumo superskribiĝos.

interface_landbuylabel                          *Xm x *Ym. Totala areo *A kvadratmetroj. *C

interface_action_dismantle                      Malmunti
interface_action_dump                           Forĵeti
interface_action_repair                         Ripari
interface_action_medicalbay                     Malsanulejeto
interface_action_search                         Traserĉi
interface_action_searchcell                     Ekzameni ĉelon
interface_action_searchcellblock                Ekzameni ĉelaron
interface_action_sack                           Maldungi
interface_action_doormodenormal                 Pordreĝimo: Normala
interface_action_doormodelockedshut             Pordreĝimo: Ŝlosite fermita
interface_action_doormodelockedopen             Pordreĝimo: Ŝlosite malfermita
interface_action_switchon                       Ŝalti
interface_action_switchoff                      Elŝalti
interface_action_sellobject                     Vendi objekton
interface_action_dismiss                        Ignori
interface_action_connect                        Konekti
interface_action_clearconnections               Klarigi konektojn
interface_action_servoopen                      Fermi laŭ ellasilo
interface_action_servoclose                     Malfermi laŭ ellasilo
interface_action_follow                         Sekvi
interface_action_rapsheet                       Montri krimliston

interface_contents_container                    Enhavo : *X 
interface_contents_stack                        Enhavo : *X x *Y 

interface_skip                                  PRETERPASI

interface_error_riotmove                        Ne eblas eniri: Turmulto

interface_foundationsinprogress                 Fundamento progrese
riot_underway                                   TURMULTO SURVOJ
riot_status_prisoners                           *X malliberuloj turmultas
shakedown_underway                              RAZIO SURVOJE
shakedown_found                                 Trovis:

gameover_caption                                Presu ESC por daŭrigi

sector_jobs_max                                 Maksimumaj postenoj *X
sector_jobs_qualified                           Kvalifikitaj malliberuloj: *X
sector_jobs_required                            (Postulataj: *X)
sector_noaccess                                 NENIU ENIRO
sector_insecure                                 MALSEKURA



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Aparatarkongruectesto
hardware_compat_message					Laŭ via permeso, plaĉus al ni kolekti la sekvajn aparatardatumojn el via komputilo.\n\nĈi tiuj informoj tute anonimas kaj helpos nin certigi ke Prison Architect subteniĝas en kiel eble plej multe da komputilaparataro.\n\nDankon!
hardware_compat_accept					Akcepti
hardware_compat_decline					Malakcepti

connectionmenu_connect                  Konekti
connectionmenu_disconnect               Malkonekti
connectionmenu_clear                    Klarigi
connectionmenu_done                     Fine


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Konstrui
buildtoolbar_reports                    Raportoj
buildtoolbar_bangup                     Enĉeligi
buildtoolbar_lockdown                   Fermegi
buildtoolbar_shakedown                  Razii
buildtoolbar_weaponsfree                Laŭvoligi armilojn

buildtoolbar_tooltip_reports			Malfermu la raportfenestron por vidi informojn pri viaj malliberuloj, dungitaro, enspezoj, stipendioj, kaj pli.
buildtoolbar_tooltip_bangup				Sendi ĉiujn (akceptantajn) malliberulojn al siaj ĉeloj. Ĉi tio tre kolerigos viajn malliberulojn se vi lasos ilin enŝlositajn dum tro longe.
buildtoolbar_tooltip_lockdown			Tuj fermi kaj ŝlosi ciujn pordojn en la malliberejo.
buildtoolbar_tooltip_shakedown          Mendi tujan ekzamenon de ĉiuj ĉeloj. Ĉi tio daŭros dum longe kaj ĝenegos viajn malliberulojn.
buildtoolbar_tooltip_weaponsfree        Permesos al viaj armitaj gardistoj uzi mortigan povon. Fusilistoj ne plu avertpafos antaŭ ol ili mortigos.

buildtoolbar_cost						Kosto: $*C
buildtoolbar_cost_sqrft					Kosto: $*C /kvadrato
buildtoolbar_wages						Salajro : $*W ĉiutage
buildtoolbar_outdoor					Nur ekstere
buildtoolbar_indoor						Nur enterne
buildtoolbar_walk_speed					Marŝrapideco : *S
buildtoolbar_walk_speed_slow			Malrapide
buildtoolbar_walk_speed_norm			Normale
buildtoolbar_walk_speed_fast			Rapide
buildtoolbar_locked                     FERMITA
buildtoolbar_locked_research			FERMITA (Vi bezonas je *B)
buildtoolbar_locked_administrator		FERMITA (*B bezoniĝas)
buildtoolbar_room						Ĉambro

buildtoolbar_electrical                 - Elektra
buildtoolbar_highpower                  - Elektrega
buildtoolbar_water                      - Bezonas akvokonekton
buildtoolbar_wired                      - Dratita (konektas al aliaj dratitaĵoj)
buildtoolbar_modcontent                 - Modifenhavo

buildtoolbar_popup_foundations			Konstruu/Malkonstruu konstruaĵojn por formigi vian malliberejon.
buildtoolbar_popup_construction			Malsamaj tipoj de plankoj kaj muroj.
buildtoolbar_popup_planning				Elplani vian malliberejon sen la timo de laborantoj fakte laborantaj.
buildtoolbar_popup_designation			Destini areojn de via malliberejo per specifa funkcio.
buildtoolbar_popup_objects				Dismeti utilaĵojn en via malliberejo.
buildtoolbar_popup_overlays				Videble identigi malfortecojn en la konstruado de via malliberejo.
buildtoolbar_popup_utilities			Akvotubaro kaj elektraj sistemoj.
buildtoolbar_popup_staff				Dungi la necesajn homojn por kurigi vian malliberejon.
buildtoolbar_popup_deployment			Destini dungitaranojn al areoj de via malliberejo.
buildtoolbar_popup_logistics            Destini malliberulojn labori dise en via malliberejo. Ankaŭ permana kontrolo de la manĝej- kaj lavejdestinoj.
buildtoolbar_popup_research				Malfermi novajn eblecojn por via malliberejo.
buildtoolbar_popup_emergencies			Alvoki la krizservilojn se aferoj malboniĝus.
buildtoolbar_popup_spawn				Aperigi? Kion la fek ĉi tio faras?
buildtoolbar_popup_clone				Kopii kaj alglui viajn ekzistajn konstruojn.
buildtoolbar_popup_properties			Eltrovi pri aĵaĉoj.
buildtoolbar_popup_contraband           Vidi la fontojn de kontrabando, kaj ĉiun lastatempe retrovitan kontrabandon en via malliberejo. Ankaŭ montras viajn Konfidencajn Informantantojn kaj iliajn informojn.
buildtoolbar_popup_grading              Vidu la entutan malliberejgradigon laŭ kvar ŝlosilaj metrikoj - Punoj, Reformo, Sekureco, kaj Saneco. Ankaŭ montras la refojan malobservraton de via malliberejo.
buildtoolbar_popup_prefabs              Kopii kaj alglui ekzistajn partojn de via malliberejo, aŭ meti antaŭdefinitajn ĉambrojn.
buildtoolbar_popup_room_cell			Kie viaj malliberuloj loĝas.
buildtoolbar_popup_room_holdingcell		Ĉambro kie novaj malliberuloj metiĝas antaŭ ol ĉelo por ili troviĝis.
buildtoolbar_popup_room_solitary		Izolada mallibereco por la plej malbonaj el la plej malbonaj.
buildtoolbar_popup_room_dormitory       Variablograndeca ĉambro por loĝigi plurajn malliberulojn. Ju pli granda la loĝejo des pli da malliberuloj eblas al ĝi loĝigi.
buildtoolbar_popup_room_familycell      Kie viaj malliberuloj loĝas, se ili havas bebojn.
buildtoolbar_popup_room_sharedcell      Plurloĝiga ĉelo por loĝigi plurajn malliberulojn. Povas loĝigi ĝis 8 malliberulojn.
buildtoolbar_popup_room_canteen			Kie viaj malliberuloj havos siajn vesperajn teojn.
buildtoolbar_popup_room_kitchen			Areo por kuiristoj kuiri manĝojn por viaj malliberuloj.
buildtoolbar_popup_room_shower			Uzata por teni viajn malliberulojn puregaj, kaj senpedikaj.
buildtoolbar_popup_room_yard			Lasu al viaj malliberuloj vidi la sunon dum malmulte da horoj ĉiutago gardeme spekate de viaj fusilistturoj.
buildtoolbar_popup_room_storage			Areo detinita por teni ĉiujn materialojn kiujn via malliberejdungitaro bezonas.
buildtoolbar_popup_room_deliveries		Kie viaj havaĵoj, materialoj, kaj malliberuloj deĵetiĝas.
buildtoolbar_popup_room_garbage			El kie via rubaĵo kolektiĝas.
buildtoolbar_popup_room_execution		Kien vi sendas viajn malliberulojn por morti.
buildtoolbar_popup_room_workshop		Kien vi sendas viajn malliberulojn por morti pro enueco farante aŭtolicensplatojn por vi.
buildtoolbar_popup_room_security		Oficejoj por viaj oficistoj.
buildtoolbar_popup_room_office			Laborareo por viaj administraranoj.
buildtoolbar_popup_room_medicalward		Laborareo por viaj malsanulejestraranoj.
buildtoolbar_popup_room_morgue			Kien vi sendas viajn mortajn malliberulojn kaj dungitaranojn.
buildtoolbar_popup_room_commonroom		Permesas al viaj malliberuloj iom da libertempo por malstreĉi.
buildtoolbar_popup_room_kennel          Kie viaj hundoj loĝas.
buildtoolbar_popup_room_chapel          Kio okazas kiam burokratia komitato kunvenas kaj elpensas solvon al la religiaj bezonoj de malliberuloj? 'Plurkreda Preĝĉambro', tio estas kio. Ni nomas ĝin la Kapelo.
buildtoolbar_popup_room_paroleroom      Viaj malliberuloj rajtas provizoran liberigon post pune servi 50% kaj 75% de siaj punoj. Iliaj sortoj fikiĝos en ĉi tiu ĉambro, kun la Malliberejestro kaj Sekurecestro.\n\nN.B. Ekstra sekureco konsiliĝas. Malliberuloj tre koleregiĝemas kiam iliaj prozorliberigoj rifuziĝas.
buildtoolbar_popup_room_library         Al via malliberejo sendos skatolojn da elĵetitaj kaj uzitaj libroj dise el la lando. Malliberuloj devos sorti tiujn librojn en la bretojn.
buildtoolbar_popup_room_intake          Kie viaj malliberuloj unue preniĝos kiam ili alvenas.
buildtoolbar_popup_room_nursery         Aktivecĉambro por malliberuloj kun beboj.

buildtoolbar_popup_obj_bed				Ne tro mola, ne tro malmola, ĝuste taŭga. Nu, fakte, tre malmola kaj tro malgranda.
buildtoolbar_popup_obj_toilet			Baza homara rajto, se vi kredas ĉiujn tiujn stultulojn.
buildtoolbar_popup_obj_table			Bone taŭgas kun seĝo.
buildtoolbar_popup_obj_chair			Bone taŭgas kun tablo.
buildtoolbar_popup_obj_bench			Por alsidado.
buildtoolbar_popup_obj_electricchair	Por doni 2000V da justeco.
buildtoolbar_popup_obj_jaildoor			Teni viajn malliberulojn kie ili devus esti.
buildtoolbar_popup_obj_jaildoorlarge	Teni multe da viaj malliberulojn kie ili devus esti.
buildtoolbar_popup_obj_door				Simpla pordo.
buildtoolbar_popup_obj_solitarydoor		Fortega pordo por teni eĉ la plej fortajn el malliberuloj de eskapi.
buildtoolbar_popup_obj_staffdoor		Fermita pordo kiun nur povas malfermi de iu ajn dungitarano, ne nur gardistoj.
buildtoolbar_popup_obj_window			Por traduonvidi la sunon.
buildtoolbar_popup_obj_windowlarge		Por traduonvidegi la sunon.
buildtoolbar_popup_obj_tree				Elpaŝi kontraŭ tutmonda varmiĝo entute estas via respondeco.
buildtoolbar_popup_obj_light			Certigi ke vi povas vidi viajn malliberulojn ĉiujn horojn de la tago.
buildtoolbar_popup_obj_cooker			Doni al viaj malliberuloj la vivon de lukso per varma manĝaĵo.
buildtoolbar_popup_obj_fridge			Malebiligi al viaj manĝaĵprovizoj putri.
buildtoolbar_popup_obj_bin				Ordeco gravas rilate al kontrabando.
buildtoolbar_popup_obj_sink				Ĉiuj dungitaranoj devas lavi siajn manojn. Pli rapide laboros se konektita al varma akvo.
buildtoolbar_popup_obj_servingtable		Servaĉi manĝaĵon al viaj malliberuloj.
buildtoolbar_popup_obj_showerhead		La kapo de duŝilo. Por duŝi. Duŝi per varma akvo pli feliĉigos viajn malliberulojn.
buildtoolbar_popup_obj_bookshelf		Breto kiu tenas librojn.
buildtoolbar_popup_obj_officedesk		Via dungitaro ofte bezoans surpaperigi aferojn. Donu al ili brilan oficejtablon sur kiu ili povas tion fari.
buildtoolbar_popup_obj_filingcabinet	Via dungitaro bezonas restigi al siaj surpaperigaĵoj esti ordaj.
buildtoolbar_popup_obj_medicalbed		Loko por teni viajn narkotaĵojn antaŭ ol viaj malliberuloj ŝtelas ilin.
buildtoolbar_popup_obj_morgueslab		Certigi ke mortuloj havas respektan lokon por resti antaŭ transloĝo.
buildtoolbar_popup_obj_drain			Forigi akvon el la planko.
buildtoolbar_popup_obj_sprinkler		Aŭtomate spruĉas la areon per akvo kaze de fajro.
buildtoolbar_popup_obj_metaldetector	Trovi kontrabandon sur viaj malliberuloj kiuj trairas ĉi tiujn. Bezonon proksimas gardiston kiu povas preni la kontrabandon.
buildtoolbar_popup_obj_weightsbench		Permemi al viaj malliberuloj ekzerciĝi, kiu plaĉas al ili.
buildtoolbar_popup_obj_phonebooth		Malliberuloj eble volas paroli kun sia familio, kaj ĉi tiuj utilaj telefonujoj ebligas tion.
buildtoolbar_popup_obj_tv				Pacigi viajn malliberulojn per mencparaliza mezboneco.
buildtoolbar_popup_obj_largetv			Permesi multe da viaj malliberuloj kunhavigi la sperton de cerbputro.
buildtoolbar_popup_obj_pooltable		Forigi la monotonecon de malliberejvivo per ludo de poŝbilardo.
buildtoolbar_popup_obj_dismantleobject	Forigi objekton el via malliberejo.
buildtoolbar_popup_obj_altar            Relajas viajn preĝojn rekte al la alta potenco de via elekto.
buildtoolbar_popup_obj_pews             Seĝoj por la kredemaj. Kreitaj el la plej malmola, plej nevitata de ligno.
buildtoolbar_popup_obj_prayermat        Protekti viajn malliberulojn de la malpura planko kiam ili ofertas siajn preĝojn.
buildtoolbar_popup_obj_guardtower       Turo de kiu viaj fusilistoj (aparte dungitaj) povas gvati vian malliberejon.

buildtoolbar_popup_staff_workman		Konstruos vian malliberojn por vi, bazite de la planoj kiujn vi al ili donos.
buildtoolbar_popup_staff_guard			Uzata por viajn malliberulojn disciplini kaj eksterturmultigi.
buildtoolbar_popup_staff_armedguard     Armita per ĉaspafilo, malliberuloj duoble pensos antaŭ ol ili atakos ĉi tiun ulon.\n\nNotu: Ĉiu armita gardisto bezonas sian propran ŝrankon en la armejo.
buildtoolbar_popup_staff_doctor			Aŭtomate kuracos ĉiujn proksimajn homojn, senpense ĉu ili estas gardistoj aŭ malliberuloj.
buildtoolbar_popup_staff_cook			Nutras viajn malliberulojn per la manĝoj kiujn ili pretigas.
buildtoolbar_popup_staff_gardener		Tenas viajn malliberejareojn puraj kaj ordaj.
buildtoolbar_popup_staff_janitor		Tenas la enternon de via malliberejo pura kaj orda. Ankaŭ povas helpi pri malliberejlavado.
buildtoolbar_popup_staff_warden			La granda estro de via malliberejo. Bezonatas antaŭ ol vi povas esplori kaj dungi altnivelajn dungitaranojn.
buildtoolbar_popup_staff_chief			Altnivela dungitarano kiu donas akceson al deplojado, gvatado, kaj kontraŭtumultgardistoj.
buildtoolbar_popup_staff_foreman		Altnivela dungitarano kiu permesas al vi atingi akceson al Lavistoj kaj Ĝardenistoj.
buildtoolbar_popup_staff_psychologist	Altnivela dungitarano kiu permesas al vi atingi sagacecon al la mencoj de viaj malliberuloj
buildtoolbar_popup_staff_accountant		Altnivela dungitarano kiu donas akceson al financaj raportoj.
buildtoolbar_popup_staff_lawyer			Altnivela dungitarano kiu helpas vin fleksi iujn el la reguloj por pli bona kontrolo de via malliberejo.
buildtoolbar_popup_staff_sniper         Tre sperta pafisto kiu aŭtomate okupos malplenan gardistturo se eblas. Pafos nombron da avertpafoj al malliberuloj tumultantaj ene de la muroj de la malliberejo antaŭ ol ili mortigos malliberulon. Eskapantaj malliberuloj ne avertiĝas.

